M,N,N_DRONES,Value Iteration Time,Policy Iteration Time,Linear Programming Time,Best Algorithm
5,4,4,0.03347301483154297,0.056038856506347656,0.07443118095397949,Value Iteration
5,4,5,0.027925729751586914,0.14566826820373535,0.05874896049499512,Value Iteration
5,5,2,0.05883383750915527,0.09956002235412598,0.19811511039733887,Value Iteration
5,5,3,0.05471301078796387,0.14893603324890137,0.1939840316772461,Value Iteration
5,5,4,0.05582284927368164,0.09324502944946289,0.17827606201171875,Value Iteration
5,5,5,0.05408215522766113,0.15473723411560059,0.20072484016418457,Value Iteration
5,6,2,0.09210085868835449,0.17402386665344238,0.3565340042114258,Value Iteration
5,6,3,0.09694099426269531,0.2080399990081787,0.30844712257385254,Value Iteration
5,6,4,0.08333706855773926,0.2618739604949951,0.370344877243042,Value Iteration
5,6,5,0.10229086875915527,0.2721590995788574,0.3341331481933594,Value Iteration
5,7,2,0.15864086151123047,0.3788180351257324,0.44309306144714355,Value Iteration
5,7,3,0.1990222930908203,0.4053840637207031,0.49837374687194824,Value Iteration
5,7,4,0.1855161190032959,0.8557119369506836,0.48421478271484375,Value Iteration
5,7,5,0.18242096900939941,0.3563649654388428,0.5592918395996094,Value Iteration
5,8,2,0.27570104598999023,0.49825000762939453,0.6932170391082764,Value Iteration
5,8,3,0.28798532485961914,0.5605840682983398,0.6826088428497314,Value Iteration
5,8,4,0.3626718521118164,0.8118720054626465,0.7555630207061768,Value Iteration
5,8,5,0.2491929531097412,0.5918741226196289,0.8860390186309814,Value Iteration
6,3,2,0.014269828796386719,0.016733884811401367,0.050314903259277344,Value Iteration
6,3,3,0.022396087646484375,0.03445792198181152,0.04645824432373047,Value Iteration
6,3,4,0.028177976608276367,0.029132604598999023,0.04223513603210449,Value Iteration
6,3,5,0.03183317184448242,0.02480602264404297,0.03024005889892578,Policy Iteration
6,4,2,0.059542179107666016,0.07929801940917969,0.1608278751373291,Value Iteration
6,4,3,0.04642796516418457,0.07044005393981934,0.16887497901916504,Value Iteration
6,4,4,0.033460140228271484,0.05201387405395508,0.1431748867034912,Value Iteration
6,4,5,0.0442197322845459,0.08246016502380371,0.10614585876464844,Value Iteration
6,5,2,0.08579874038696289,0.16639995574951172,0.366163969039917,Value Iteration
6,5,3,0.08098292350769043,0.23502421379089355,0.34761881828308105,Value Iteration
6,5,4,0.08397507667541504,0.29896998405456543,0.3217811584472656,Value Iteration
6,5,5,0.10824871063232422,0.1824018955230713,0.31229615211486816,Value Iteration
6,6,2,0.18666386604309082,0.3995072841644287,0.5903382301330566,Value Iteration
6,6,3,0.2024080753326416,0.5531220436096191,0.6029598712921143,Value Iteration
6,6,4,0.18452715873718262,0.2846500873565674,0.48775696754455566,Value Iteration
6,6,5,0.17273807525634766,0.5158061981201172,0.5384960174560547,Value Iteration
6,7,2,0.3753800392150879,2.1025497913360596,0.9141168594360352,Value Iteration
6,7,3,0.3535158634185791,1.3415868282318115,1.0460772514343262,Value Iteration
